ies,curso,area,municipio,N,fracN,idd,cpc,cpcf,ano
54,2701,23,3509502,37.0,1.0,-1.5637038946151733,3.105747587988844,4,2016
54,51046,27,3509502,25.0,0.8928571343421936,0.6054152250289917,3.5167395084194575,4,2016
54,122957,28,3526902,8.0,1.0,-1.6255621910095215,3.2223922003466736,4,2016
54,91897,3501,3509502,41.0,0.9111111164093018,-0.20288647711277008,3.629127160080697,4,2016
54,91899,3501,3509502,31.0,0.7948718070983887,-1.931086778640747,3.1963550956391624,4,2016
54,122951,3501,3526902,34.0,0.9189189076423645,-0.07242415100336075,3.577169244703821,4,2016
56,3140,5,3524303,55.0,0.9821428656578064,0.16334998607635498,3.749970549000165,4,2016
56,3176,5,3507506,46.0,0.9387755393981934,-0.12636704742908478,3.718201028515671,4,2016
56,3221,5,3502804,41.0,0.8913043737411499,0.630264937877655,3.915227790390003,4,2016
56,3127,6,3503208,73.0,0.9733333587646484,-0.5988519787788391,3.131303956447221,4,2016
56,3161,6,3502804,98.0,0.9514563083648682,0.031001728028059006,3.6796769950635193,4,2016
